0,34:39:00
1,34:52:00
2,35:01:00
3,35:55:00
4,36:12:00
5,36:13:00
6,36:56:00
7,37:06:00
8,37:16:00
9,37:26:00
10,37:40:00
11,37:45:00
12,37:53:00
13,38:01:00
14,38:10:00
15,38:17:00
16,38:25:00
17,38:34:00
18,38:40:00
19,38:45:00
20,38:58:00
21,39:08:00
22,39:15:00
23,39:23:00
24,39:31:00
25,39:40:00
26,39:47:00
27,39:57:00
28,40:03:00
29,40:10:00
30,40:18:00
31,40:24:00
32,40:33:00
33,40:40:00
34,40:49:00
35,40:55:00
36,41:01:00
37,41:10:00
38,41:17:00
39,41:26:00
40,41:37:00
41,41:47:00
42,41:55:00
43,42:03:00
44,42:10:00
45,42:19:00
46,42:27:00
47,42:35:00
48,42:43:00
49,42:50:00
50,52:55:00
51,43:02:00
52,43:05:00
53,43:13:00
54,43:22:00
55,43:28:00
56,43:25:00
57,43:41:00
58,43:47:00
59,43:58:00
60,44:03:00
61,44:07:00
62,44:16:00
63,44:27:00
64,44:35:00
65,44:45:00
66,44:51:00
67,44:57:00
68,45:12:00
69,45:25:00
70,45:37:00
71,45:43:00
72,45:52:00
73,46:00:00
74,46:07:00
75,46:15:00
76,46:20:00
77,46:28:00
78,46:37:00
79,46:43:00
80,46:50:00
81,46:56:00
82,46:59:00
83,47:10:00
84,47:19:00
85,47:24:00
86,47:29:00
87,47:37:00
88,47:43:00
89,47:56:00
90,48:01:00
91,48:06:00
92,48:14:00
93,48:19:00
94,48:29:00
95,48:37:00
96,48:48:00
97,48:54:00
98,49:07:00
99,Rohr zu
